X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Imports
-93.411128,32.798531,11,111,CALUMET COTTON VALLEY REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Cotton Valley,Louisiana,3,14,,,,,,0.5,6.5,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.798531,-93.411128,0
-97.67768,38.3416280000001,12,115,CHS MCPHERSON REFINERY INC,CHS INC,Mcpherson,Kansas,2,114.9,50,24.5,43,,27,25.3,89.4,30.6,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.341628,-97.67768,1
-108.7681,45.658374,13,116,Cenex Harvest States Coop,CHS INC,Laurel,Montana,4,63.5,32.2,16.5,,,12.5,5.3,62,16,19.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,45.658374,-108.7681,1
-118.410994,33.9114220000001,14,119,CHEVRON USA INC,CHEVRON CORP,El Segundo,California,5,290.5,169.1,73.8,55,,49,66.1,243.5,76.7,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.911422,-118.410994,1
-122.398665,37.94978,15,120,CHEVRON USA INC,CHEVRON CORP,Richmond,California,5,257.2,123.5,90,103.4,,71.3,85.9,382.2,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,37.94978,-122.398665,1
-106.395613,31.7675120000001,16,123,WESTERN REFINING COMPANY LP,MARATHON PETROLEUM CORP,El Paso,Texas,3,138,55.5,35,,,28,16.5,123,,4,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,31.767512,-106.395613,0
-111.923936,40.8247440000001,17,124,CHEVRON USA INC,CHEVRON CORP,Salt Lake City,Utah,4,57.6,27.9,15.5,,,9.1,7,50.3,10,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.824744,-111.923936,1
-88.4899139999999,30.344744,18,125,CHEVRON USA INC,CHEVRON CORP,Pascagoula,Mississippi,3,375.2,330,88,119,,101.6,21.5,284.3,104,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.344744,-88.489914,1
-95.281964,32.3604320000001,19,147,DELEK REFINING LTD,DELEK GROUP LTD,Tyler,Texas,3,76,28,20.3,,,17.5,4.7,77,7.5,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.360432,-95.281964,0
-95.206799,29.721442,20,148,PASADENA REFINING SYSTEMS INC,CHEVRON CORP,Pasadena,Texas,3,115.7,38,52,,,23,12.5,84,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.721442,-95.206799,1
-111.910603,40.867508,21,150,Silver Eagle Refining,SILVER EAGLE REFINING INC,Woods Cross,Utah,4,15.7,7,,,,,,4,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.867508,-111.910603,1
-98.459995,29.3476370000001,22,153,THE SAN ANTONIO REFINERY LLC,STARLIGHT RELATIVITY ACQUISITION CO,San Antonio,Texas,3,21,,,,,6,,15,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.347637,-98.459995,1
-90.907845,32.385998,23,159,ERGON REFINING INC,ERGON INC,Vicksburg,Mississippi,3,27.3,18,,,,,,23,,10,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.385998,-90.907845,1
-91.169797,30.486272,24,161,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Baton Rouge,Louisiana,3,542,254,244.5,27,,80,41,549.1,123.5,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.486272,-91.169797,1
-108.434778,45.814531,25,162,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Billings,Montana,4,62.9,32.3,23.7,6.2,,12.5,5.1,60.9,10,14.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,45.814531,-108.434778,1
-94.976798,29.7614310000001,26,163,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Baytown,Texas,3,584,297,228,29.9,,127.5,41,794,96,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.761431,-94.976798,1
-122.138319,38.072007,27,164,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,Benicia,California,5,149,85.5,75.3,34,,37.2,21.3,169.3,29.5,9,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,38.072007,-122.138319,1
-95.605823,37.0495250000001,28,168,COFFEYVILLE RESOURCES RFG & MKTG,CVR ENERGY,Coffeyville,Kansas,2,136,46,36,,,26,10,124,25,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,37.049525,-95.605823,1
-111.920665,40.838556,29,176,BIG WEST OIL CO,FJ MANAGEMENT INC,North Salt Lake,Utah,4,33,,12.5,,,8.5,8,23.3,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,40.838556,-111.920665,0
-97.1677559999999,34.6329450000001,30,177,WYNNEWOOD REFINING CO,CVR ENERGY,Wynnewood,Oklahoma,2,78,40.3,22,18.2,,18.7,5.5,67.5,,7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,34.632945,-97.167756,0
-104.390979,32.844821,31,185,HOLLYFRONTIER NAVAJO REFINING LLC,HOLLYFRONTIER CORP,Artesia,New Mexico,3,124,34.3,30,18,,24,9.5,118,,7,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,32.844821,-104.390979,1
-111.295316,47.5232120000001,32,187,CALUMET MONTANA REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Great Falls,Montana,4,37,20,3,24,,1.5,2.3,14.8,,10,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,47.523212,-111.295316,1
-87.611011,33.2004870000001,33,190,HUNT REFINING CO,HUNT CONSLD INC,Tuscaloosa,Alabama,3,50,25,,20.5,,15.3,4.2,49.1,34,25,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.200487,-87.611011,1
-118.236861,33.798301,34,191,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,Wilmington Asphalt Plant,California,5,6.5,5,,,,,,,,3.5,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.798301,-118.236861,1
-118.917953,35.294719,35,202,KERN OIL & REFINING CO,KERN OIL & REFINING CO,Bakersfield,California,5,27,,,,,5.8,,14,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,35.294719,-118.917953,1
-93.0391,44.7633000000001,36,203,Flint Hills Resources LP,KOCH INDUSTRIES INC,Saint Paul,Minnesota,2,375,234,96,67,,50.8,32,336,82,45,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,44.7633,-93.0391,1
-97.525965,27.832974,37,204,Flint Hills Resources LP,KOCH INDUSTRIES INC,Corpus Christi West,Texas,3,275,87.5,56.2,15,,,15.5,199,14.5,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,27.832974,-97.525965,1
-97.424842,27.8043650000001,38,205,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,Corpus Christi East,Texas,3,75,,48.8,,,,,96.5,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,27.804365,-97.424842,1
-88.0562,30.7886,39,206,SHELL CHEMICAL LP,ROYAL DUTCH/SHELL GROUP,Saraland,Alabama,3,90.6,29,,,,22,1.2,76,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.7886,-88.0562,1
-118.233663,33.779055,40,209,ULTRAMAR INC,VALERO ENERGY CORP,Wilmington Refinery,California,5,87,46,56.3,,,18,22,144,28.8,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.779055,-118.233663,1
-90.082597,35.084704,41,217,VALERO REF COMPANY TENNESSEE LLC,VALERO ENERGY CORP,Memphis,Tennessee,2,185,,70,26.5,,36,12.7,129,,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,35.084704,-90.082597,1
-75.2577669999999,39.8403040000001,42,223,PAULSBORO REFINING CO LLC,PBF ENERGY CO LLC,Paulsboro,New Jersey,1,105,86,,,,,,61.1,,21,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,39.840304,-75.257767,1
-94.074933,30.0649230000001,43,225,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Beaumont,Texas,3,384.4,148.8,115,70,,143.5,59.9,347.1,46.5,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,30.064923,-94.074933,1
-118.332317,33.8532080000001,44,226,TORRANCE REFINING CO LLC,PBF ENERGY CO LLC,Torrance,California,5,166.2,102.3,103.6,28.3,,20,30,153.4,62,,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,33.853208,-118.332317,1
-88.183309,41.4147100000001,45,227,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Joliet,Illinois,2,275,126.7,99.3,,,52.6,29.1,259.8,57.5,15.1,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,41.41471,-88.183309,1
-89.974393,29.9351510000001,46,228,Chalmette Refining LLC,PBF ENERGY CO LLC,Chalmette,Louisiana,3,197,169,75.6,,,52.7,16.8,188.6,42,15,EIA-820 Refinery Capacity Report,As of Jan. 1 2021,29.935151,-89.974393,1
