latitude,longitude,xco2,name,capacity_mw,generation_gwh,est_Gt_co2_emms,est_Gt_co2_atm,Gt_co2
24.0983,82.6719,400.974743,VINDH_CHAL STPS,4760.0,29047.0,0.027013710000000003,0.012156169500000001,3131.6127428299997
24.0983,82.6719,404.58783,VINDH_CHAL STPS,4760.0,30015.0,0.02791395,0.0125612775,3159.8309523
24.0983,82.6719,406.872143,VINDH_CHAL STPS,4760.0,35116.0,0.03265788,0.014696046,3177.67143683
22.823,69.5532,399.992168,MUNDRA TPP,4620.0,30539.0,0.02840127,0.0127805715,3123.93883208
22.823,69.5532,403.45375,MUNDRA TPP,4620.0,28078.0,0.02611254,0.011750643,3150.9737875
22.823,69.5532,405.82796,MUNDRA TPP,4620.0,20311.0,0.01888923,0.0085001535,3169.5163676
22.8158,69.5281,399.992168,MUNDRA UMPP,4000.0,23679.0,0.02202147,0.009909661500000002,3123.93883208
22.8158,69.5281,403.45375,MUNDRA UMPP,4000.0,25303.0,0.02353179,0.0105893055,3150.9737875
22.8158,69.5281,405.82796,MUNDRA UMPP,4000.0,24599.0,0.02287707,0.0102946815,3169.5163676
23.9784,82.6275,400.677597,SASAN UMPP,3960.0,29342.0,0.027288060000000003,0.012279627000000001,3129.2920325699997
23.9784,82.6275,404.240104,SASAN UMPP,3960.0,27671.0,0.02573403,0.011580313500000002,3157.1152122399994
23.9784,82.6275,406.522942,SASAN UMPP,3960.0,29909.0,0.02781537,0.0125169165,3174.9441770199996
21.4129,79.9671,400.32545,TIRORA TPP,3300.0,18964.0,0.01763652,0.007936434,3126.5417644999998
21.4129,79.9671,403.849449,TIRORA TPP,3300.0,16665.0,0.015498449999999999,0.0069743025,3154.06419669
21.4129,79.9671,406.128978,TIRORA TPP,3300.0,16604.0,0.01544172,0.0069487740000000004,3171.86731818
21.0966,85.074,400.551345,TALCHER STPS,3000.0,22480.0,0.020906400000000002,0.00940788,3128.3060044500003
21.0966,85.074,404.028195,TALCHER STPS,3000.0,21370.0,0.019874100000000002,0.008943345000000002,3155.4602029499997
21.0966,85.074,406.469253,TALCHER STPS,3000.0,21490.0,0.019985700000000002,0.008993565000000002,3174.5248659299996
24.027,82.7915,400.677597,RIHAND,3000.0,19628.0,0.018254040000000003,0.008214318000000002,3129.2920325699997
24.027,82.7915,404.240104,RIHAND,3000.0,20486.0,0.01905198,0.008573391,3157.1152122399994
24.027,82.7915,406.522942,RIHAND,3000.0,22019.0,0.02047767,0.0092149515,3174.9441770199996
22.13,82.293,400.620709,SIPAT STPS,2980.0,21078.0,0.01960254,0.008821143000000002,3128.8477372899997
22.13,82.293,404.15757,SIPAT STPS,2980.0,22522.0,0.02094546,0.009425457,3156.4706217
22.13,82.293,406.503345,SIPAT STPS,2980.0,21771.0,0.02024703,0.0091111635,3174.79112445
20.0063,79.29,400.358068,CHANDRAPUR_Coal,2920.0,11158.697,0.01037758821,0.0046699146945,3126.79651108
20.0063,79.29,403.891659,CHANDRAPUR_Coal,2920.0,13675.44,0.0127181592,0.00572317164,3154.39385679
